,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
5273,Si,Si,Si,Si,No,Si,Si,Alto,Urbano
5274,No,No,Si,Si,No,Si,Si,Alto,Urbano
5275,No,No,Si,Si,Si,No,Si,Alto,Urbano
5276,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5277,No,No,Si,Si,No,Si,Si,Alto,Urbano
5278,Si,Si,No,Si,No,No,No,Alto,Urbano
5279,No,No,Si,Si,No,Si,Si,Alto,Urbano
5280,No,No,Si,Si,No,No,Si,Medio bajo,Rural
5281,Si,Si,No,Si,No,No,Si,Medio alto,Urbano
5282,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5283,Si,No,No,Si,No,No,Si,Medio alto,Urbano
5284,Si,No,Si,Si,No,No,No,Medio alto,Urbano
5285,No,No,Si,Si,No,No,No,Medio alto,Urbano
5286,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5287,Si,No,Si,Si,No,No,Si,Medio bajo,Urbano
5288,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
5289,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
5290,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
5291,No,No,Si,Si,No,No,Si,Medio bajo,Rural
5292,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5293,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5294,Si,Si,No,Si,No,No,Si,Medio bajo,Urbano
5295,Si,Si,Si,Si,No,Si,Si,Alto,Urbano
5296,Si,No,No,Si,No,Si,Si,Medio bajo,Urbano
5297,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5298,Si,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
5299,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5300,No,No,Si,Si,Si,No,Si,Medio bajo,Urbano
5301,No,No,Si,Si,No,Si,Si,Bajo,Urbano
5302,Si,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
5303,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5304,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5305,No,No,Si,Si,Si,Si,Si,Bajo,Rural
5306,Si,No,No,Si,Si,No,Si,Medio bajo,Rural
5307,Si,No,No,Si,No,No,No,Medio bajo,Rural
5308,No,No,Si,Si,No,No,No,Medio bajo,Rural
5309,No,No,Si,Si,No,No,No,Medio bajo,Rural
5310,Si,No,Si,Si,No,No,Si,Medio bajo,Rural
5311,No,Si,Si,Si,No,No,No,Medio bajo,Rural
5312,No,No,Si,Si,No,No,No,Medio bajo,Rural
5313,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5314,Si,Si,Si,Si,No,No,Si,Medio bajo,Urbano
5315,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5316,No,No,Si,Si,Si,No,Si,Alto,Urbano
5317,No,No,Si,Si,No,Si,Si,Alto,Urbano
5318,No,No,Si,Si,No,Si,Si,Alto,Urbano
5319,No,No,Si,Si,No,Si,Si,Alto,Urbano
5320,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5321,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5322,Si,No,Si,Si,No,No,Si,Medio bajo,Urbano
5323,No,Si,Si,Si,No,No,Si,Medio bajo,Urbano
5324,No,No,Si,Si,No,No,No,Medio bajo,Rural
5325,No,No,Si,Si,No,No,No,Medio bajo,Rural
5326,No,No,Si,Si,No,No,No,Medio bajo,Rural
5327,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5328,No,No,Si,Si,No,No,No,Medio bajo,Rural
5329,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5330,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5331,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5332,No,No,No,No,No,No,No,Medio bajo,Urbano
5333,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
5334,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5335,No,No,Si,Si,No,Si,No,Bajo,Urbano
5336,No,No,Si,No,No,No,No,Bajo,Urbano
5337,No,No,Si,Si,No,No,No,Bajo,Urbano
5338,Si,No,No,Si,No,No,No,Bajo,Urbano
5339,Si,Si,No,Si,No,No,No,Bajo,Urbano
5340,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5341,Si,Si,Si,Si,No,No,Si,Alto,Urbano
5342,No,No,Si,Si,No,No,Si,Alto,Urbano
5343,Si,No,No,Si,No,No,No,Bajo,Rural
5344,Si,No,Si,Si,No,No,No,Bajo,Rural
5345,No,No,Si,Si,No,No,No,Bajo,Rural
5346,Si,No,Si,Si,No,No,No,Bajo,Rural
5347,Si,No,No,Si,No,No,No,Bajo,Rural
5348,No,No,Si,Si,No,No,No,Bajo,Rural
5349,No,No,Si,Si,No,No,No,Bajo,Rural
5350,No,No,Si,Si,No,No,No,Bajo,Rural
5351,Si,No,Si,No,No,No,No,Bajo,Rural
5352,Si,No,Si,Si,No,No,No,Bajo,Rural
5353,Si,No,Si,Si,No,No,No,Bajo,Rural
5354,No,No,Si,Si,No,No,No,Bajo,Rural
5355,No,No,No,Si,No,No,No,Bajo,Urbano
5356,No,No,Si,Si,No,No,Si,Alto,Urbano
5357,No,No,Si,Si,No,No,No,Alto,Urbano
5358,Si,No,Si,Si,No,Si,No,Alto,Urbano
5359,Si,No,Si,Si,No,No,Si,Alto,Urbano
5360,No,No,Si,Si,No,Si,Si,Alto,Urbano
5361,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
5362,Si,No,No,Si,No,No,No,Medio bajo,Urbano
5363,No,No,Si,Si,No,Si,No,Alto,Urbano
5364,Si,Si,Si,Si,Si,Si,Si,Alto,Urbano
5365,No,No,Si,Si,No,No,Si,Alto,Urbano
5366,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5367,Si,No,Si,Si,No,No,No,Medio alto,Urbano
5368,No,Si,Si,Si,Si,Si,Si,Medio alto,Urbano
5369,Si,Si,Si,Si,No,Si,Si,Medio alto,Urbano
5370,No,No,Si,Si,Si,No,No,Medio alto,Urbano
5371,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5372,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5373,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5374,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5375,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5376,No,No,Si,Si,No,Si,No,Medio bajo,Urbano
5377,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
5378,Si,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
5379,Si,No,No,Si,No,No,No,Bajo,Rural
5380,No,No,Si,Si,No,Si,Si,Alto,Urbano
5381,No,No,No,Si,No,Si,Si,Alto,Urbano
5382,No,No,Si,Si,No,Si,Si,Alto,Urbano
5383,No,No,Si,Si,Si,No,Si,Medio bajo,Urbano
5384,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5385,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5386,Si,No,No,No,No,No,No,Medio bajo,Urbano
5387,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5388,Si,Si,Si,Si,No,Si,Si,Medio bajo,Urbano
5389,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
5390,No,No,Si,No,No,No,Si,Medio bajo,Urbano
5391,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5392,Si,Si,No,Si,No,No,Si,Medio alto,Urbano
5393,No,No,Si,Si,No,No,No,Medio alto,Urbano
5394,No,No,Si,Si,No,No,No,Medio alto,Urbano
5395,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5396,No,No,Si,Si,No,No,No,Medio alto,Urbano
5397,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5398,Si,Si,Si,Si,Si,No,No,Alto,Urbano
5399,No,No,Si,Si,No,No,No,Medio bajo,Rural
5400,No,No,Si,No,No,No,No,Medio bajo,Rural
5401,Si,No,Si,Si,No,No,No,Medio bajo,Rural
5402,No,No,Si,No,No,No,No,Medio bajo,Rural
5403,No,No,Si,Si,No,No,No,Medio bajo,Rural
5404,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5405,Si,No,Si,Si,No,Si,No,Medio bajo,Rural
5406,Si,No,Si,Si,No,No,No,Medio bajo,Rural
5407,No,No,Si,Si,No,No,No,Medio bajo,Rural
5408,No,No,Si,No,No,No,Si,Bajo,Urbano
5409,No,No,Si,Si,No,No,Si,Bajo,Urbano
5410,Si,Si,Si,Si,No,No,Si,Bajo,Rural
5411,No,No,Si,Si,No,No,Si,Bajo,Rural
5412,Si,No,Si,Si,No,No,Si,Bajo,Rural
5413,No,No,Si,Si,No,No,Si,Bajo,Rural
5414,Si,No,No,Si,No,No,No,Bajo,Rural
5415,No,No,Si,Si,No,No,No,Bajo,Rural
5416,No,No,Si,Si,No,No,No,Bajo,Rural
5417,No,No,Si,Si,No,No,No,Bajo,Rural
5418,Si,No,Si,Si,No,No,No,Bajo,Rural
5419,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5420,Si,Si,No,No,No,No,No,Medio bajo,Rural
5421,No,No,No,No,No,No,No,Medio bajo,Rural
5422,No,No,Si,Si,No,No,No,Bajo,Urbano
5423,No,No,Si,Si,No,No,No,Bajo,Urbano
5424,No,No,Si,Si,No,No,Si,Bajo,Urbano
5425,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5426,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5427,Si,No,Si,Si,No,Si,No,Medio bajo,Urbano
5428,No,No,Si,Si,No,No,Si,Alto,Urbano
5429,No,No,Si,Si,No,Si,Si,Alto,Urbano
5430,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5431,No,No,Si,Si,No,No,Si,Alto,Urbano
5432,No,No,Si,Si,No,Si,Si,Alto,Urbano
5433,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5434,Si,Si,Si,Si,No,Si,Si,Alto,Urbano
5435,No,No,Si,Si,No,Si,Si,Alto,Urbano
5436,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5437,Si,No,No,Si,No,No,No,Medio alto,Urbano
5438,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5439,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5440,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5441,No,No,Si,Si,Si,No,Si,Alto,Urbano
5442,No,No,Si,Si,Si,No,No,Alto,Urbano
5443,No,No,Si,Si,Si,No,Si,Alto,Urbano
5444,No,No,Si,Si,No,Si,Si,Alto,Urbano
5445,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5446,No,No,Si,Si,No,Si,Si,Alto,Urbano
5447,No,No,Si,Si,No,No,No,Bajo,Rural
5448,No,No,Si,Si,No,No,No,Bajo,Rural
5449,No,No,Si,Si,No,No,No,Bajo,Rural
5450,Si,No,Si,Si,No,No,No,Bajo,Rural
5451,Si,No,No,Si,No,No,No,Medio bajo,Rural
5452,No,Si,Si,Si,No,No,Si,Medio bajo,Urbano
5453,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5454,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5455,No,No,Si,Si,No,Si,No,Bajo,Urbano
5456,No,No,Si,Si,No,No,Si,Bajo,Urbano
5457,No,No,Si,Si,No,No,No,Bajo,Urbano
5458,No,No,Si,Si,No,No,No,Bajo,Urbano
5459,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
5460,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5461,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5462,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5463,No,No,Si,Si,No,No,No,Medio alto,Urbano
5464,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5465,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5466,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5467,Si,No,No,Si,No,Si,Si,Medio alto,Urbano
5468,Si,Si,No,Si,No,Si,Si,Medio bajo,Urbano
5469,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5470,Si,No,No,Si,No,Si,No,Medio bajo,Urbano
5471,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5472,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5473,Si,No,No,Si,No,No,No,Medio bajo,Urbano
5474,Si,No,No,Si,No,No,No,Medio bajo,Urbano
5475,No,No,Si,Si,No,No,No,Bajo,Rural
5476,No,No,Si,Si,No,No,No,Bajo,Rural
5477,No,No,Si,Si,No,No,No,Bajo,Rural
5478,No,No,Si,Si,No,No,No,Bajo,Rural
5479,Si,No,No,Si,No,Si,No,Bajo,Rural
5480,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5481,No,No,Si,Si,Si,No,No,Medio bajo,Urbano
5482,No,No,No,No,No,No,No,Medio bajo,Urbano
5483,No,No,Si,Si,No,No,No,Bajo,Rural
5484,No,No,Si,Si,No,No,No,Bajo,Rural
5485,No,No,Si,No,No,No,No,Bajo,Rural
5486,No,No,Si,Si,No,No,No,Bajo,Rural
5487,No,No,Si,No,No,No,No,Bajo,Rural
5488,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5489,Si,Si,Si,Si,No,No,No,Medio bajo,Urbano
5490,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5491,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5492,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5493,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
5494,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5495,Si,Si,Si,Si,Si,Si,Si,Medio alto,Urbano
5496,Si,Si,No,No,No,No,No,Medio alto,Urbano
5497,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5498,Si,No,No,Si,Si,Si,Si,Medio bajo,Urbano
5499,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5500,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5501,Si,No,No,Si,No,No,No,Medio alto,Urbano
5502,No,No,No,Si,No,No,No,Medio alto,Urbano
5503,No,No,Si,Si,No,No,No,Medio alto,Urbano
5504,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5505,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5506,Si,No,No,No,No,Si,Si,Medio bajo,Urbano
5507,Si,No,No,Si,No,No,Si,Medio bajo,Urbano
5508,No,No,No,Si,No,No,No,Medio bajo,Urbano
5509,Si,No,Si,Si,No,Si,Si,Alto,Urbano
5510,No,No,Si,Si,No,No,Si,Alto,Urbano
5511,No,No,Si,Si,No,Si,Si,Alto,Urbano
5512,Si,No,Si,Si,No,No,Si,Alto,Urbano
5513,No,No,Si,Si,No,Si,Si,Alto,Urbano
5514,No,No,No,No,No,No,No,Medio bajo,Rural
5515,No,Si,Si,Si,No,No,No,Medio bajo,Rural
5516,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5517,Si,No,Si,Si,No,No,No,Medio alto,Urbano
5518,No,No,Si,No,No,No,Si,Medio alto,Urbano
5519,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5520,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5521,Si,No,No,Si,No,No,Si,Medio alto,Urbano
5522,No,No,Si,No,No,No,No,Medio bajo,Rural
5523,Si,No,Si,Si,No,No,No,Medio bajo,Rural
5524,Si,No,No,Si,No,No,No,Medio bajo,Rural
5525,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5526,Si,Si,Si,Si,No,No,No,Medio bajo,Urbano
5527,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5528,No,No,Si,Si,No,No,No,Medio bajo,Rural
5529,Si,Si,No,Si,Si,No,No,Medio bajo,Rural
5530,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5531,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5532,No,No,Si,No,No,No,No,Medio bajo,Urbano
5533,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5534,Si,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
5535,No,No,Si,Si,No,Si,Si,Alto,Urbano
5536,Si,No,No,Si,Si,No,Si,Alto,Urbano
5537,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5538,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5539,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5540,No,No,No,Si,No,No,No,Medio bajo,Urbano
5541,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5542,Si,No,No,Si,No,No,Si,Medio bajo,Urbano
5543,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5544,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5545,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5546,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5547,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5548,Si,Si,Si,Si,No,No,No,Bajo,Rural
5549,Si,No,Si,Si,No,Si,No,Bajo,Rural
5550,Si,Si,No,No,No,No,No,Bajo,Rural
5551,Si,No,Si,Si,No,Si,No,Medio bajo,Rural
5552,Si,No,No,Si,No,No,No,Medio bajo,Rural
5553,Si,No,No,Si,No,No,No,Bajo,Rural
5554,No,No,Si,Si,No,Si,No,Bajo,Rural
5555,Si,No,Si,No,No,No,No,Bajo,Rural
5556,Si,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5557,Si,Si,Si,Si,Si,Si,No,Medio bajo,Urbano
5558,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
5559,Si,No,No,Si,No,No,No,Medio bajo,Urbano
5560,No,No,No,No,No,No,No,Bajo,Rural
5561,No,No,No,No,No,No,No,Bajo,Rural
5562,No,No,No,Si,Si,Si,Si,Bajo,Rural
5563,No,No,No,Si,No,No,Si,Bajo,Rural
5564,No,No,No,Si,Si,Si,Si,Bajo,Rural
5565,No,No,No,Si,Si,Si,No,Bajo,Rural
5566,No,No,Si,Si,No,No,No,Bajo,Rural
5567,No,No,Si,Si,No,No,No,Bajo,Rural
5568,No,No,No,No,No,No,No,Bajo,Rural
5569,Si,No,Si,Si,No,No,No,Medio bajo,Rural
5570,Si,No,No,Si,Si,No,No,Medio bajo,Rural
5571,No,No,Si,Si,No,No,No,Medio bajo,Rural
5572,No,No,Si,Si,No,No,No,Medio bajo,Rural
5573,Si,No,No,Si,No,No,No,Bajo,Rural
5574,Si,No,No,Si,No,No,No,Bajo,Rural
5575,Si,No,No,Si,No,No,No,Bajo,Rural
5576,Si,No,No,Si,No,No,No,Bajo,Rural
5577,No,No,No,No,No,No,No,Bajo,Rural
5578,No,No,No,Si,No,No,No,Bajo,Rural
5579,No,No,No,No,No,No,No,Bajo,Rural
5580,Si,No,No,Si,No,No,No,Bajo,Rural
5581,No,No,Si,Si,No,Si,No,Medio bajo,Rural
5582,Si,No,No,Si,No,No,No,Medio bajo,Rural
5583,Si,Si,No,Si,Si,No,Si,Medio bajo,Urbano
5584,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5585,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
5586,No,No,No,No,No,No,No,Medio bajo,Urbano
5587,No,No,Si,Si,No,Si,Si,Alto,Urbano
5588,Si,No,Si,Si,No,Si,No,Alto,Urbano
5589,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5590,No,No,Si,Si,No,Si,Si,Alto,Urbano
5591,Si,No,Si,Si,No,No,No,Bajo,Rural
5592,Si,No,No,Si,No,No,No,Bajo,Rural
5593,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5594,Si,Si,No,Si,Si,No,Si,Medio alto,Urbano
5595,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
5596,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
5597,No,No,Si,Si,No,No,Si,Medio alto,Urbano
5598,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
5599,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5600,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5601,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
5602,No,Si,Si,Si,No,No,Si,Medio alto,Urbano
5603,No,No,Si,Si,Si,Si,Si,Medio bajo,Rural
5604,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5605,No,No,Si,Si,Si,No,Si,Medio bajo,Rural
5606,No,No,Si,Si,No,No,No,Medio bajo,Rural
5607,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5608,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
5609,Si,No,No,Si,No,No,Si,Medio bajo,Rural
5610,Si,Si,Si,Si,No,No,Si,Alto,Urbano
5611,Si,No,Si,Si,No,Si,Si,Alto,Urbano
5612,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5613,Si,No,Si,Si,Si,Si,Si,Alto,Urbano
5614,No,No,Si,Si,No,Si,Si,Alto,Urbano
5615,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
5616,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5617,No,No,Si,Si,No,No,No,Medio bajo,Rural
5618,Si,No,Si,Si,No,Si,Si,Medio bajo,Rural
5619,Si,No,No,Si,No,No,No,Medio bajo,Rural
5620,Si,Si,Si,Si,Si,No,Si,Medio bajo,Rural
5621,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5622,No,No,No,Si,No,Si,Si,Alto,Urbano
5623,No,No,Si,Si,Si,No,Si,Alto,Urbano
5624,No,No,Si,Si,No,Si,Si,Alto,Urbano
5625,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5626,Si,No,Si,Si,No,No,Si,Medio bajo,Rural
5627,No,No,Si,Si,No,No,No,Medio bajo,Rural
5628,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
5629,No,No,Si,Si,No,Si,No,Medio bajo,Rural
5630,No,No,Si,Si,No,No,No,Medio bajo,Rural
5631,Si,No,No,Si,No,No,No,Medio bajo,Rural
5632,No,No,Si,Si,No,Si,Si,Alto,Urbano
5633,Si,No,Si,Si,Si,Si,Si,Alto,Urbano
5634,No,No,Si,Si,No,Si,Si,Alto,Urbano
5635,No,No,Si,Si,No,No,Si,Alto,Urbano
5636,No,No,Si,Si,No,Si,Si,Alto,Urbano
5637,No,No,Si,Si,No,No,No,Medio alto,Urbano
5638,No,No,Si,Si,No,No,No,Medio alto,Urbano
5639,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5640,Si,Si,No,Si,No,Si,Si,Medio bajo,Urbano
5641,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5642,No,No,Si,Si,Si,Si,Si,Alto,Urbano
5643,No,No,Si,Si,No,Si,Si,Alto,Urbano
5644,No,No,Si,Si,No,Si,Si,Alto,Urbano
5645,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5646,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5647,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5648,No,No,Si,Si,Si,Si,Si,Bajo,Rural
5649,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5650,No,No,No,Si,No,No,Si,Medio bajo,Urbano
5651,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5652,Si,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5653,Si,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
5654,Si,No,Si,Si,No,No,Si,Medio bajo,Urbano
5655,Si,Si,Si,Si,No,No,No,Medio bajo,Urbano
5656,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5657,No,No,Si,Si,No,No,No,Medio bajo,Urbano
5658,No,No,Si,Si,No,No,No,Bajo,Rural
5659,Si,No,No,Si,No,No,No,Medio bajo,Rural
5660,No,No,No,No,No,No,No,Medio bajo,Rural
5661,No,No,Si,No,No,No,No,Medio bajo,Rural
5662,No,No,Si,Si,No,No,No,Medio bajo,Rural
5663,No,No,Si,Si,No,No,No,Medio bajo,Rural
5664,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5665,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5666,Si,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
5667,Si,No,No,Si,Si,No,Si,Medio bajo,Urbano
5668,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5669,Si,No,No,Si,No,No,Si,Medio bajo,Urbano
5670,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5671,Si,Si,No,Si,No,No,Si,Medio bajo,Rural
5672,No,No,Si,Si,No,No,No,Medio bajo,Rural
5673,Si,Si,Si,No,No,No,No,Medio bajo,Rural
5674,No,Si,Si,Si,No,No,Si,Bajo,Rural
5675,No,No,No,No,No,No,No,Bajo,Rural
5676,No,No,No,Si,No,No,No,Bajo,Rural
5677,No,No,Si,No,No,No,No,Bajo,Rural
5678,Si,Si,Si,Si,No,No,No,Bajo,Rural
5679,No,No,Si,Si,No,No,No,Bajo,Rural
5680,No,No,Si,Si,No,No,No,Medio bajo,Rural
5681,No,No,Si,Si,No,No,No,Medio bajo,Rural
5682,Si,No,Si,Si,No,No,No,Medio bajo,Rural
5683,Si,Si,Si,Si,No,Si,Si,Medio bajo,Rural
5684,Si,Si,Si,Si,No,No,Si,Medio bajo,Rural
5685,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
5686,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5687,Si,No,Si,Si,No,Si,Si,Medio bajo,Rural
5688,Si,Si,No,Si,No,No,No,Bajo,Rural
5689,Si,No,No,Si,No,No,No,Bajo,Rural
5690,No,No,Si,Si,No,No,No,Bajo,Rural
5691,No,No,Si,Si,No,No,No,Bajo,Rural
5692,Si,Si,No,No,No,No,No,Bajo,Rural
5693,Si,No,Si,Si,No,No,No,Bajo,Rural
5694,No,No,No,Si,No,No,No,Bajo,Rural
5695,No,No,No,Si,No,No,No,Bajo,Rural
5696,No,No,No,Si,No,No,No,Bajo,Rural
5697,No,No,No,Si,No,Si,Si,Bajo,Rural
5698,No,No,Si,Si,No,No,No,Bajo,Rural
5699,No,No,No,Si,No,Si,No,Bajo,Rural
5700,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5701,Si,Si,No,Si,No,No,No,Bajo,Rural
5702,No,No,Si,Si,No,No,No,Bajo,Rural
5703,Si,Si,No,Si,No,No,No,Bajo,Rural
5704,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
5705,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5706,Si,Si,Si,Si,Si,Si,Si,Medio bajo,Urbano
5707,No,No,No,Si,No,Si,No,Medio bajo,Urbano
5708,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5709,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
5710,Si,Si,No,Si,No,Si,No,Medio bajo,Urbano
5711,Si,No,No,Si,No,No,No,Medio bajo,Urbano
5712,Si,No,Si,Si,No,No,No,Medio bajo,Urbano
5713,Si,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
5714,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
5715,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
5716,No,No,Si,Si,No,No,No,Medio bajo,Rural
5717,Si,Si,No,Si,No,No,No,Medio bajo,Rural
5718,Si,Si,Si,Si,No,No,No,Medio bajo,Rural
5719,No,No,Si,Si,No,No,No,Medio bajo,Rural
5720,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
5721,No,No,Si,Si,No,No,Si,Bajo,Urbano
5722,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5723,Si,Si,Si,Si,No,No,Si,Bajo,Urbano
5724,No,No,Si,Si,No,No,Si,Bajo,Urbano
