,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
106,No,No,Si,Si,No,Si,Si,Alto,Urbano
107,No,No,Si,Si,No,Si,Si,Alto,Urbano
108,No,No,No,Si,No,Si,Si,Alto,Urbano
109,No,No,Si,Si,No,No,Si,Bajo,Urbano
110,Si,No,Si,Si,No,Si,Si,Bajo,Urbano
111,Si,Si,No,Si,No,No,No,Bajo,Rural
112,Si,Si,Si,Si,No,Si,Si,Alto,Urbano
113,Si,No,No,Si,No,No,Si,Alto,Urbano
114,Si,No,No,Si,No,No,Si,Alto,Urbano
115,Si,No,No,Si,No,Si,Si,Alto,Urbano
116,Si,No,No,Si,No,No,No,Alto,Urbano
117,No,No,Si,Si,No,No,Si,Alto,Urbano
118,No,No,Si,Si,Si,No,Si,Alto,Urbano
119,No,No,Si,Si,No,No,Si,Alto,Urbano
120,No,No,Si,Si,No,No,No,Alto,Urbano
121,No,No,Si,Si,No,Si,No,Alto,Urbano
122,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
123,No,Si,Si,Si,Si,No,Si,Medio bajo,Rural
124,Si,No,No,Si,No,No,Si,Bajo,Rural
125,Si,No,No,Si,Si,Si,Si,Bajo,Rural
126,Si,No,No,Si,No,No,No,Bajo,Rural
127,Si,No,No,Si,No,No,Si,Bajo,Rural
128,Si,Si,Si,Si,Si,No,Si,Bajo,Rural
129,No,No,No,Si,No,No,No,Bajo,Rural
130,Si,No,Si,Si,No,No,No,Bajo,Rural
131,No,No,Si,Si,No,No,Si,Bajo,Rural
132,Si,Si,Si,Si,No,No,Si,Bajo,Rural
133,No,No,Si,Si,No,No,Si,Alto,Urbano
134,No,No,Si,Si,No,No,No,Alto,Urbano
135,Si,No,No,Si,No,No,No,Bajo,Urbano
136,No,No,Si,Si,No,No,Si,Bajo,Urbano
137,No,No,No,Si,Si,No,Si,Bajo,Urbano
138,Si,No,No,Si,No,No,Si,Bajo,Urbano
139,Si,No,Si,Si,No,No,Si,Bajo,Urbano
140,No,No,Si,Si,No,Si,Si,Alto,Urbano
141,No,Si,Si,Si,No,Si,Si,Alto,Urbano
142,No,No,Si,Si,No,No,Si,Bajo,Rural
143,No,No,Si,Si,No,No,No,Bajo,Rural
144,Si,No,Si,Si,No,No,No,Bajo,Rural
145,No,No,Si,Si,No,No,No,Bajo,Rural
146,No,No,Si,Si,No,No,No,Bajo,Rural
147,No,No,No,Si,No,No,No,Bajo,Rural
148,Si,Si,Si,Si,No,No,Si,Medio bajo,Rural
149,Si,Si,No,Si,No,Si,No,Medio bajo,Rural
150,Si,No,No,Si,No,Si,Si,Medio bajo,Rural
151,No,No,Si,Si,Si,No,Si,Medio bajo,Rural
152,Si,No,No,Si,No,No,No,Medio bajo,Rural
153,Si,Si,No,Si,No,Si,Si,Medio bajo,Rural
154,No,No,Si,Si,Si,No,Si,Medio bajo,Rural
155,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
