UPM,VIV_SEL,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_2_3,P4_3,P4_3A,P4_4,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_6_6,P4_6A,P4_7_1,P4_7_2,P4_7_3,P4_7_4,P4_7A,P4_8,P4_8A,P5_1,P5_2_1,P5_2_2,P5_3_1,P5_3_2,P5_4,P5_4A,P5_5,P5_6_1,P5_6_2,P5_6_3,P5_6_4,P5_6_5,P5_7_1,P5_8_1,P5_9_1,P5_10_1,P5_7_2,P5_8_2,P5_9_2,P5_10_2,P5_7_3,P5_8_3,P5_9_3,P5_10_3,P5_7_4,P5_8_4,P5_9_4,P5_10_4,P5_7_5,P5_8_5,P5_9_5,P5_10_5,P5_7_6,P5_8_6,P5_9_6,P5_7_7,P5_8_7,P5_9_7,P5_7_8,P5_8_8,P5_9_8,P5_11_1,P5_11_2,P5_11_3,FAC_HOG,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO
202427,1,1,2,2,2,1,1,2,2,2,2,2,,1,1,1,2,2,2,2,2,,,,,,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,800,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,1,2,1,2073,104,14,U,1,4
202427,2,1,1,2,2,1,1,2,2,1,1,,,1,1,2,1,2,2,2,2,,,,,,,,,2,,,,,2,,1,1,2,1,1,2,2,,,,2,,,,2,,,,2,,,,1,440,,,2,,,2,,,2,,,1,3,1,2073,104,14,U,1,4
202427,5,1,2,2,2,1,1,2,2,2,1,,,1,3,2,1,2,2,2,2,,1,2,1,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,560,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,1,1,1,2073,104,14,U,1,4
202633,3,1,1,2,2,1,1,2,1,1,2,,,1,1,2,1,2,2,2,2,,,,,,,,,2,,,,,2,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,440,,1,3,3,2767,105,12,U,1,2
202633,4,1,2,2,2,1,1,2,2,2,2,1,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,2,,,,,1,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,340,,2,3,3,2767,105,12,U,1,2
202633,5,1,1,2,2,1,1,1,1,1,1,,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,700,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,1,1,1,2767,105,12,U,1,2
202633,1,1,1,1,1,2,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,2767,105,12,U,1,2
202633,2,1,2,2,2,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,2,,,,,1,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,2767,105,12,U,1,2
202817,1,1,2,1,2,1,1,1,1,2,1,,,1,3,1,2,2,2,2,2,,1,2,2,2,,,,2,,,,,2,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,700,,1,3,3,2172,106,14,U,1,4
202817,2,1,1,2,2,1,1,2,2,1,2,,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,1,1,1,1,1,2,2,,,,1,9999,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,1,1,1,2172,106,14,U,1,4
